"","SampleID","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block","oldPlate","newPlate","Analysis","alpha"
"1","M1981P563","8_0053.leaf","8_0053","leaf","ecotypes","2008","2011","3","Mah","field","MAH.8.A1","MAH","8_02","p206","M1981","Ecotypes",3.7884326264542
"2","M1977P1709","8_0053.root","8_0053","root","ecotypes","2008","2011","3","Mah","field","MAH.8.A1","MAH","8_02","p217","M1977","Ecotypes",5.71764500075293
"3","M1980P502","8_0074.leaf","8_0074","leaf","ecotypes","2008","2011","3","Mah","field","JAM.15.A","JAM","8_02","p205","M1980","Ecotypes",3.63531275143086
"4","M1981P606","8_0074.root","8_0074","root","ecotypes","2008","2011","3","Mah","field","JAM.15.A","JAM","8_02","p206","M1981","Ecotypes",5.64043397392023
"5","M1981P599","8_0087.leaf","8_0087","leaf","ecotypes","2008","2011","3","Mah","field","MIL.20.B","MIL","8_02","p206","M1981","Ecotypes",2.68735292901627
"6","M1981P611","8_0087.root","8_0087","root","ecotypes","2008","2011","3","Mah","field","MIL.20.B","MIL","8_02","p206","M1981","Ecotypes",5.56536064271636
"7","M1981P587","8_0090.leaf","8_0090","leaf","ecotypes","2008","2011","3","Mah","field","SILLow.5","SIL","8_02","p206","M1981","Ecotypes",4.19447810166217
"8","M1982P729","8_0090.root","8_0090","root","ecotypes","2008","2011","3","Mah","field","SILLow.5","SIL","8_02","p207","M1982","Ecotypes",5.51435582439546
"9","M1979P447","8_0096.leaf","8_0096","leaf","ecotypes","2008","2011","3","Mah","field","PAR.9.A1","PAR","8_02","p204","M1979","Ecotypes",3.93541025625877
"10","M1982P701","8_0096.root","8_0096","root","ecotypes","2008","2011","3","Mah","field","PAR.9.A1","PAR","8_02","p207","M1982","Ecotypes",5.48548412541277
"11","M1982P661","8_0149.leaf","8_0149","leaf","ecotypes","2008","2011","3","Jam","field","SILLow.7","SIL","8_04","p207","M1982","Ecotypes",2.75518561987715
"12","M1978P293","8_0149.root","8_0149","root","ecotypes","2008","2011","3","Jam","field","SILLow.7","SIL","8_04","p203","M1978","Ecotypes",5.02928410246499
"13","M1980P462","8_0157.leaf","8_0157","leaf","ecotypes","2008","2011","3","Jam","field","MIL.54.A","MIL","8_04","p205","M1980","Ecotypes",1.19907946252868
"14","M1555P221","8_0157.root","8_0157","root","ecotypes","2008","2011","3","Jam","field","MIL.54.A","MIL","8_04","p202","M1555","Ecotypes",5.23520382926867
"15","M1980P471","8_0158.leaf","8_0158","leaf","ecotypes","2008","2011","3","Jam","field","JAM.6.A","JAM","8_04","p205","M1980","Ecotypes",0.682909390378516
"16","M1979P422","8_0158.root","8_0158","root","ecotypes","2008","2011","3","Jam","field","JAM.6.A","JAM","8_04","p204","M1979","Ecotypes",5.09971034307334
"17","M1982P655","8_0167.leaf","8_0167","leaf","ecotypes","2008","2011","3","Jam","field","PAR.17.A1","PAR","8_04","p207","M1982","Ecotypes",0.990563160056415
"18","M1554P182","8_0167.root","8_0167","root","ecotypes","2008","2011","3","Jam","field","PAR.17.A1","PAR","8_04","p201","M1554","Ecotypes",4.9822975221725
"19","M1981P623","8_0174.leaf","8_0174","leaf","ecotypes","2008","2011","3","Jam","field","MAH.37.A","MAH","8_04","p206","M1981","Ecotypes",1.04936083584362
"20","M1555P239","8_0174.root","8_0174","root","ecotypes","2008","2011","3","Jam","field","MAH.37.A","MAH","8_04","p202","M1555","Ecotypes",5.01726011059541
"21","M1958P1020","8_0195.leaf","8_0195","leaf","ecotypes","2008","2011","3","Sil","field","SILupper.2","SIL","8_05","p211","M1958","Ecotypes",3.09387212017709
"22","M1555P205","8_0195.root","8_0195","root","ecotypes","2008","2011","3","Sil","field","SILupper.2","SIL","8_05","p202","M1555","Ecotypes",5.10317485587192
"23","M1959P1121","8_0196.leaf","8_0196","leaf","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_05","p212","M1959","Ecotypes",2.65171105684545
"24","M1551P83","8_0196.root","8_0196","root","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_05","p200","M1551","Ecotypes",5.96673604666666
"25","M1961P1359","8_0203.leaf","8_0203","leaf","ecotypes","2008","2011","3","Sil","field","MAH.5.A","MAH","8_05","p214","M1961","Ecotypes",3.86844279146894
"26","M1551P21","8_0203.root","8_0203","root","ecotypes","2008","2011","3","Sil","field","MAH.5.A","MAH","8_05","p200","M1551","Ecotypes",5.83012334553688
"27","M1690P1399","8_0204.leaf","8_0204","leaf","ecotypes","2008","2011","3","Sil","field","JAM.6.A","JAM","8_05","p215","M1690","Ecotypes",2.96244396035205
"28","M1555P214","8_0204.root","8_0204","root","ecotypes","2008","2011","3","Sil","field","JAM.6.A","JAM","8_05","p202","M1555","Ecotypes",5.80426773370375
